"","Var1","Freq"
"1","AACN Adv Crit Care",3
"2","AANA J",1
"3","AAPS J",27
"4","AAPS PharmSci",7
"5","AAPS PharmSciTech",2
"6","Acad Emerg Med",1
"7","Acad Med",1
"8","Acad Pediatr",2
"9","Acad Psychiatry",1
"10","Account Res",1
"11","ACS Chem Neurosci",6
"12","ACS Chem. Biol.",2
"13","ACS Med Chem Lett",1
"14","ACS Nano",1
"15","Acta Anaesthesiol Belg",1
"16","Acta Anaesthesiol Scand",3
"17","Acta Anaesthesiol Taiwan",1
"18","Acta Biochim. Pol.",1
"19","Acta Biomater",2
"20","Acta Cardiol Sin",1
"21","Acta Chim Slov",1
"22","Acta Clin Belg",2
"23","Acta Clin Croat",1
"24","Acta Derm. Venereol.",2
"25","Acta Diabetol",2
"26","Acta Gastroenterol. Belg.",2
"27","Acta Gastroenterol. Latinoam.",1
"28","Acta Haematol.",3
"29","Acta Med Indones",1
"30","Acta Med Iran",5
"31","Acta Medica (Hradec Kralove)",1
"32","Acta Medica (Hradec Kralove) Suppl",1
"33","Acta Naturae",3
"34","Acta Neurobiol Exp (Wars)",1
"35","Acta Neurol Belg",1
"36","Acta Neurol. Scand.",3
"37","Acta Neurol. Scand., Suppl.",1
"38","Acta Neuropathol Commun",1
"39","Acta Neuropathol.",1
"40","Acta Neuropsychiatr",3
"41","Acta Oncol",2
"42","Acta Ophthalmol",4
"43","Acta Orthop",1
"44","Acta Otolaryngol.",1
"45","Acta Paediatr Taiwan",1
"46","Acta Pharm",1
"47","Acta Pharm Sin B",4
"48","Acta Pharmacol. Sin.",31
"49","Acta Physiol (Oxf)",1
"50","Acta Physiol Hung",3
"51","Acta Pol Pharm",5
"52","Acta Psychiatr Scand",1
"53","Acta Psychiatr Scand Suppl",1
"54","Acta Radiol Suppl",1
"55","Acta Trop.",3
"56","Actas Dermosifiliogr",4
"57","Actas Esp Psiquiatr",2
"58","Addict Behav",1
"59","Addict Behav Rep",1
"60","Addict Biol",12
"61","Addict Sci Clin Pract",3
"62","Addiction",11
"63","Adolesc Med",1
"64","Adolesc Med State Art Rev",1
"65","Adv Anat Pathol",1
"66","Adv Appl Bioinform Chem",1
"67","Adv Biomed Res",1
"68","Adv Cardiol",1
"69","Adv Chronic Kidney Dis",8
"70","Adv Clin Chem",2
"71","Adv Clin Exp Med",4
"72","Adv Gerontol",1
"73","Adv Health Econ Health Serv Res",1
"74","Adv Med Educ Pract",1
"75","Adv Med Sci",2
"76","Adv Neurol",1
"77","Adv Pharmacol Sci",1
"78","Adv Protein Chem Struct Biol",5
"79","Adv Psychosom Med",1
"80","Adv Ther",2
"81","Adv. Biochem. Psychopharmacol.",2
"82","Adv. Cancer Res.",1
"83","Adv. Dent. Res.",1
"84","Adv. Drug Deliv. Rev.",23
"85","Adv. Exp. Med. Biol.",18
"86","Adv. Genet.",7
"87","Adv. Parasitol.",1
"88","Adv. Pharmacol.",18
"89","Afr Health Sci",1
"90","Afr J Psychiatry (Johannesbg)",1
"91","Afr J Tradit Complement Altern Med",2
"92","Age (Dordr)",1
"93","Age Ageing",2
"94","Ageing Res. Rev.",3
"95","Aging Cell",3
"96","Aging Clin Exp Res",1
"97","AHIP Cover",1
"98","AIDS",11
"99","AIDS Clin Care",1
"100","AIDS Patient Care STDS",1
"101","AIDS Read",1
"102","AIDS Res Ther",2
"103","AIDS Res Treat",1
"104","AIDS Res. Hum. Retroviruses",4
"105","AIDS Rev",3
"106","AIDS Treat News",1
"107","Alcohol",7
"108","Alcohol Alcohol.",2
"109","Alcohol Res",1
"110","Alcohol Res Health",1
"111","Alcohol. Clin. Exp. Res.",13
"112","Aliment. Pharmacol. Ther.",16
"113","Allergol Immunopathol (Madr)",2
"114","Allergol Int",2
"115","Allergy",6
"116","Allergy Asthma Immunol Res",3
"117","Allergy Asthma Proc",2
"118","Altern Lab Anim",1
"119","Altern Med Rev",1
"120","Altern Ther Health Med",2
"121","ALTEX",1
"122","Alzheimers Dement",1
"123","Alzheimers Res Ther",1
"124","Am Clin Lab",5
"125","Am Fam Physician",6
"126","Am Health Drug Benefits",1
"127","Am Heart Hosp J",1
"128","Am Indian Alsk Native Ment Health Res",1
"129","Am J Addict",2
"130","Am J Alzheimers Dis Other Demen",2
"131","Am J Bioeth",4
"132","Am J Cancer Res",2
"133","Am J Cardiovasc Drugs",6
"134","Am J Clin Dermatol",1
"135","Am J Drug Alcohol Abuse",5
"136","Am J Emerg Med",1
"137","Am J Geriatr Pharmacother",1
"138","Am J Geriatr Psychiatry",1
"139","Am J Health Syst Pharm",68
"140","Am J Infect Control",1
"141","Am J Law Med",3
"142","Am J Manag Care",5
"143","Am J Med Genet C Semin Med Genet",7
"144","Am J Med Technol",1
"145","Am J Nurs",3
"146","Am J Perinatol",4
"147","Am J Pharm Educ",23
"148","Am J Pharmacogenomics",169
"149","Am J Prev Med",1
"150","Am J Psychiatry",34
"151","Am J Psychoanal",1
"152","Am J Public Health",3
"153","Am J Ther",10
"154","Am Pharm",1
"155","Am Soc Clin Oncol Educ Book",2
"156","Am Univ Law Rev",1
"157","Am. Heart J.",9
"158","Am. J. Cardiol.",4
"159","Am. J. Chin. Med.",8
"160","Am. J. Clin. Nutr.",5
"161","Am. J. Clin. Oncol.",2
"162","Am. J. Clin. Pathol.",8
"163","Am. J. Dis. Child.",1
"164","Am. J. Epidemiol.",2
"165","Am. J. Gastroenterol.",4
"166","Am. J. Hematol.",6
"167","Am. J. Hum. Genet.",21
"168","Am. J. Hypertens.",3
"169","Am. J. Kidney Dis.",9
"170","Am. J. Med.",9
"171","Am. J. Med. Genet.",2
"172","Am. J. Med. Genet. A",4
"173","Am. J. Med. Genet. B Neuropsychiatr. Genet.",22
"174","Am. J. Nephrol.",1
"175","Am. J. Obstet. Gynecol.",5
"176","Am. J. Ophthalmol.",1
"177","Am. J. Pathol.",5
"178","Am. J. Physiol.",1
"179","Am. J. Physiol. Endocrinol. Metab.",1
"180","Am. J. Physiol. Gastrointest. Liver Physiol.",1
"181","Am. J. Physiol. Heart Circ. Physiol.",2
"182","Am. J. Physiol. Lung Cell Mol. Physiol.",4
"183","Am. J. Physiol. Regul. Integr. Comp. Physiol.",2
"184","Am. J. Physiol. Renal Physiol.",4
"185","Am. J. Respir. Cell Mol. Biol.",2
"186","Am. J. Respir. Crit. Care Med.",21
"187","Am. J. Surg.",4
"188","Am. J. Transplant.",7
"189","Am. J. Trop. Med. Hyg.",3
"190","AMB Express",1
"191","AMIA Annu Symp Proc",12
"192","AMIA Jt Summits Transl Sci Proc",10
"193","Amino Acids",3
"194","Amyloid",1
"195","Amyotroph Lateral Scler",1
