"","Heading","freq"
"1","Humans",18444
"2","Pharmacogenetics",10631
"3","Female",6095
"4","Male",5896
"5","Genotype",4140
"6","Adult",3813
"7","Middle Aged",3701
"8","Polymorphism, Genetic",3627
"9","Polymorphism, Single Nucleotide",3543
"10","Animals",3530
"11","Aged",2418
"12","Treatment Outcome",1762
"13","Genetic Variation",1555
"14","Genetic Predisposition to Disease",1553
"15","Phenotype",1537
"16","Alleles",1412
"17","Precision Medicine",1381
"18","Gene Frequency",1345
"19","Cytochrome P-450 Enzyme System",1317
"20","Adolescent",1204
"21","Antineoplastic Agents",1182
"22","Aryl Hydrocarbon Hydroxylases",1123
"23","Risk Factors",1068
"24","Neoplasms",1065
"25","Young Adult",984
"26","Child",975
"27","Mice",917
"28","Aged, 80 and over",873
"29","Genomics",872
"30","Dose-Response Relationship, Drug",861
"31","Mutation",850
"32","Cytochrome P-450 CYP2D6",836
"33","Genetic Testing",828
"34","Haplotypes",760
"35","Asian Continental Ancestry Group",737
"36","Genome-Wide Association Study",727
"37","Drug-Related Side Effects and Adverse Reactions",700
"38","United States",700
"39","Pharmaceutical Preparations",669
"40","Clinical Trials as Topic",663
"41","Gene Expression Profiling",658
"42","Cytochrome P-450 CYP2C9",652
"43","Base Sequence",629
"44","European Continental Ancestry Group",627
"45","Case-Control Studies",619
"46","Warfarin",619
"47","Polymerase Chain Reaction",611
"48","Cytochrome P-450 CYP3A",610
"49","Cytochrome P-450 CYP2C19",607
"50","Genome, Human",606
"51","Anticoagulants",605
"52","Drug Design",603
"53","Prognosis",579
"54","Antipsychotic Agents",555
"55","Genetic Association Studies",553
"56","Liver",553
"57","Biomarkers",552
"58","Oligonucleotide Array Sequence Analysis",551
"59","Mixed Function Oxygenases",540
"60","Drug Interactions",527
"61","Breast Neoplasms",527
"62","Prospective Studies",504
"63","Signal Transduction",503
"64","Cohort Studies",499
"65","Genetic Markers",480
"66","DNA",463
"67","RNA, Messenger",458
"68","Retrospective Studies",458
"69","Molecular Sequence Data",458
"70","Child, Preschool",455
"71","Glucuronosyltransferase",451
"72","Cell Line, Tumor",449
"73","Time Factors",443
"74","ATP Binding Cassette Transporter, Sub-Family B",434
"75","Models, Biological",431
"76","Gene Expression Regulation",430
"77","ATP-Binding Cassette, Sub-Family B, Member 1",428
"78","Schizophrenia",424
"79","Immunosuppressive Agents",422
"80","Algorithms",421
"81","Risk Assessment",420
"82","Rats",404
"83","Antidepressive Agents",395
"84","DNA Primers",395
"85","Drug Resistance, Neoplasm",389
"86","Antineoplastic Combined Chemotherapy Protocols",384
"87","Predictive Value of Tests",383
"88","Biomarkers, Tumor",381
"89","Gene Expression",377
"90","Biotransformation",373
"91","Cardiovascular Diseases",370
"92","Promoter Regions, Genetic",369
"93","Vitamin K Epoxide Reductases",366
"94","Ethnic Groups",357
"95","Computational Biology",357
"96","Linkage Disequilibrium",357
"97","Colorectal Neoplasms",356
"98","Drug Industry",344
"99","Cell Line",342
"100","Drug Resistance",337
"101","Drug Monitoring",336
"102","Lung Neoplasms",335
"103","Gene Expression Regulation, Neoplastic",332
"104","Sequence Analysis, DNA",328
"105","Drug Therapy",327
"106","HIV Infections",324
"107","Platelet Aggregation Inhibitors",319
"108","Reproducibility of Results",317
"109","Asthma",308
"110","Hypertension",301
"111","Databases, Genetic",297
"112","Methyltransferases",284
"113","Anticonvulsants",283
"114","Fluorouracil",282
"115","Isoenzymes",274
"116","Ticlopidine",271
"117","Infant",270
"118","Pharmacogenomic Variants",269
"119","Mental Disorders",266
"120","Pharmacokinetics",265
